33,33,33,33,33,33,33,33,33,33,33,101,18,19,21,20,21,20,21,20,21,20,22,23,258
33,33,33,33,33,33,33,33,33,33,33,133,50,54,54,54,54,54,54,54,54,54,54,55,290
33,33,33,33,39,162,163,162,163,162,164,165,114,54,243,181,180,181,180,181,180,244,54,119,273
33,33,33,33,71,20,21,20,21,20,21,20,276,54,87,222,279,30,279,287,305,114,54,275,21
131,131,131,131,131,54,54,54,54,54,54,54,54,54,151,214,33,33,33,247,273,82,54,54,53
132,33,33,33,39,180,181,180,181,180,244,54,243,182,183,254,310,62,310,319,20,276,54,243,181
132,33,33,33,71,2,3,4,5,272,114,54,119,272,18,19,21,21,20,276,54,54,54,151,273
33,33,33,33,33,33,33,33,37,304,114,54,119,304,50,54,54,54,54,54,54,243,182,258,259
33,33,33,33,33,33,33,33,69,272,82,54,87,272,114,54,243,180,181,180,182,183,273,290,291
33,33,33,33,33,33,33,33,101,304,114,54,119,304,114,54,119,304,0,1,3,2,3,2,3
33,33,33,33,33,33,33,33,69,272,82,54,87,272,82,54,87,272,32,33,33,33,33,33,33
33,33,33,33,33,33,33,33,101,304,114,53,119,304,114,53,119,304,64,33,33,33,33,33,33
