36,36,36,101,50,54,54,54,54,54,54,54,54,54,54,54,55,0,1,2,3,2,3,4,5
36,36,36,133,114,54,243,180,181,180,181,180,181,180,244,54,119,32,36,36,36,36,36,36,37
162,163,164,165,82,54,119,0,1,2,3,2,4,5,114,54,87,96,36,36,36,36,36,36,69
19,21,20,20,276,54,87,32,36,36,36,36,36,37,82,54,119,128,36,36,36,36,36,36,133
54,54,54,54,54,54,151,64,36,36,36,36,36,69,114,54,87,160,161,163,162,163,162,164,165
39,180,181,180,181,182,183,96,36,36,36,36,36,101,82,54,275,21,20,21,20,21,20,21,20
71,20,21,20,21,22,23,64,36,36,36,36,36,69,114,54,54,54,54,54,54,54,54,54,54
54,54,54,54,54,54,55,96,36,36,36,36,36,101,82,54,243,180,181,180,181,180,181,180,181
179,181,180,180,244,54,119,128,36,36,36,36,36,133,114,54,119,222,30,279,30,279,30,279,287
2,3,4,5,114,54,87,160,161,162,163,162,164,165,82,54,119,60,36,36,36,36,36,36,247
36,36,36,37,82,54,275,20,21,20,21,20,21,20,276,54,87,214,36,36,36,36,36,36,61
36,36,36,69,146,54,54,54,54,54,54,54,54,54,54,54,151,254,62,310,62,310,62,310,319
