131,131,131,131,131,131,131,131,131,131,131,131,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
131,131,131,131,131,131,131,131,131,131,131,131,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
131,131,131,131,131,131,131,131,131,131,131,131,272,272,272,272,272,272,148,148,148,148,148,148,148,148,148,148,148,148
131,131,131,131,131,131,131,131,131,131,131,131,272,272,272,272,272,272,148,272,272,272,272,272,272,272,272,272,272,272
131,131,131,131,272,272,272,272,272,272,272,272,272,272,272,272,272,272,148,272,272,272,272,272,272,272,272,272,272,272
131,131,131,131,272,272,272,272,272,148,148,148,148,148,272,272,272,272,148,272,272,272,272,272,272,272,272,272,272,272
131,131,131,131,272,272,272,272,272,148,272,272,272,148,148,148,148,148,148,272,272,272,272,272,272,272,272,272,272,272
148,148,148,148,148,148,148,148,148,148,272,272,272,148,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
148,131,131,131,272,272,272,272,272,272,272,272,272,148,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
148,131,131,131,272,272,272,272,272,272,272,272,272,148,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
142,131,131,131,272,272,272,272,272,272,272,272,272,148,148,272,272,272,148,148,148,148,148,148,272,272,272,272,272,272
148,131,131,131,272,272,272,272,272,272,272,272,272,272,148,272,272,272,148,272,272,272,272,148,272,272,272,272,272,272
148,131,131,131,272,272,272,272,272,272,272,272,272,272,148,272,272,272,148,272,272,272,272,148,272,272,272,272,272,272
148,148,148,148,148,148,148,148,148,148,148,272,272,272,148,272,272,272,148,272,272,272,272,148,272,272,272,272,272,272
131,131,131,131,272,272,272,272,272,272,148,272,272,272,148,148,148,148,148,272,272,272,272,148,272,272,272,272,272,272
131,131,131,131,272,272,272,272,272,272,148,272,272,272,148,272,272,272,272,272,272,272,272,148,272,272,272,272,272,272
131,131,131,131,131,131,131,131,131,272,148,148,148,148,148,272,272,272,272,272,272,272,272,148,272,272,272,272,272,272
131,131,131,131,131,131,131,131,131,272,272,272,272,272,272,272,272,272,272,272,272,272,272,148,148,148,148,148,148,148
131,131,131,131,131,131,131,131,131,131,131,131,131,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
131,131,131,131,131,131,131,131,131,131,131,131,131,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
