33,33,33,33,33,33,33,33,101,272,273,19,21,20,21,20,21,22,273,128,36,36,36,36,36
33,33,33,33,33,33,33,33,133,304,50,54,54,54,54,54,54,54,55,160,161,163,162,163,164
33,33,33,33,39,162,163,164,165,272,82,54,243,181,180,181,244,54,275,20,21,20,21,21,22
33,33,33,33,71,21,20,21,20,21,276,54,87,222,278,287,146,54,54,54,54,54,54,54,53
131,131,131,131,131,54,54,54,54,54,54,54,151,246,36,215,273,179,180,181,180,181,180,181,182
131,33,33,33,39,180,181,180,181,180,181,182,305,254,311,319,305,304,305,222,278,279,278,279,278
132,33,33,33,71,20,21,20,21,20,21,20,21,20,21,20,21,22,273,60,36,36,36,36,36
131,131,131,131,131,54,54,54,54,54,54,54,54,54,54,54,54,54,55,316,310,311,310,311,310
33,33,33,33,39,180,181,180,181,180,181,180,181,180,181,180,244,54,275,21,20,21,22,272,273
33,33,33,33,71,2,3,4,5,304,0,1,2,3,4,5,146,54,54,54,54,54,54,55,305
33,33,33,33,33,33,33,33,37,272,32,36,36,36,36,37,273,179,180,181,180,244,54,119,273
33,33,33,33,33,33,36,33,69,304,64,36,36,36,36,69,305,304,305,304,305,146,53,151,305
