36,36,36,36,36,36,101,272,273,272,273,272,272,272,18,19,20,21,20,21
36,36,36,36,36,36,133,18,19,20,21,22,23,304,50,53,53,53,53,53
36,36,36,39,163,164,165,50,84,84,84,84,55,273,82,53,272,273,305,305
36,36,36,69,21,20,21,276,53,272,273,54,275,21,276,53,273,273,304,305
36,36,36,101,83,84,85,53,53,304,305,53,53,53,53,53,53,53,53,53
36,36,36,69,304,272,273,272,272,272,273,273,304,84,273,305,273,273,304,305
36,36,36,101,304,304,305,304,272,304,305,272,84,84,273,305,273,273,304,305
36,36,36,69,83,84,85,84,84,272,304,272,84,305,273,305,305,84,84,84
36,36,36,101,304,305,305,272,84,84,84,84,84,84,84,84,84,84,304,305
36,36,36,71,3,4,5,272,273,272,273,273,272,273,304,305,304,84,304,305
36,36,36,36,36,36,37,272,273,272,272,272,272,273,304,305,304,84,84,84
36,36,36,36,36,36,69,304,305,304,304,304,272,273,304,304,304,304,304,305
